"species","season","population","longitude","latitude"
"WIFL","Breeding","PNW",-122.26,48.6731
"WIFL","Breeding","PNW",-122.26,48.6731
"WIFL","Breeding","PNW",-122.26,48.6731
"WIFL","Breeding","PNW",-124.4,47.9678
"WIFL","Breeding","PNW",-124.4,47.9678
"WIFL","Breeding","PNW",-121.71,47.4689
"WIFL","Breeding","PNW",-121.71,47.4689
"WIFL","Breeding","PNW",-122.05,47.089
"WIFL","Breeding","PNW",-122.05,47.089
"WIFL","Breeding","PNW",-122.05,47.089
"WIFL","Breeding","PNW",-122.05,47.089
"WIFL","Breeding","PNW",-123.88,46.1503
"WIFL","Breeding","PNW",-123.88,46.1503
"WIFL","Breeding","PNW",-123.88,46.1503
"WIFL","Breeding","PNW",-123.88,46.1503
"WIFL","Breeding","PNW",-123.38,44.7821
"WIFL","Breeding","PNW",-122.02,44.3708
"WIFL","Breeding","PNW",-122.02,44.3708
"WIFL","Breeding","PNW",-122.02,44.3708
"WIFL","Breeding","PNW",-122.02,44.3708
"WIFL","Breeding","PNW",-122.02,44.3708
"WIFL","Breeding","PNW",-122.02,44.3708
"WIFL","Breeding","PNW",-122.02,44.3708
"WIFL","Breeding","PNW",-122.02,44.3708
"WIFL","Breeding","PNW",-122.02,44.3708
"WIFL","Breeding","PNW",-122.02,44.3708
"WIFL","Breeding","PNW",-123.21,44.0572
"WIFL","Breeding","PNW",-123.21,44.0572
"WIFL","Breeding","PNW",-124.12,43.295
"WIFL","Breeding","PNW",-124.12,43.295
"WIFL","Breeding","PNW",-124.12,43.295
"WIFL","Breeding","PNW",-124.12,43.295
"WIFL","Breeding","PNW",-124.38,42.445
"WIFL","Breeding","PNW",-124.38,42.445
"WIFL","Breeding","PNW",-124.38,42.445
"WIFL","Breeding","PNW",-124.38,42.445
"WIFL","Breeding","PNW",-124.38,42.445
"WIFL","Breeding","PNW",-122.69,42.1997
"WIFL","Breeding","PNW",-122.69,42.1997
"WIFL","Breeding","PNW",-123.3765,44.7821
"WIFL","Breeding","PNW",-123.3765,44.7821
"WIFL","Breeding","PNW",-123.3765,44.7821
"WIFL","Breeding","PNW",-123.3765,44.7821
"WIFL","Breeding","PNW",-123.3765,44.7821
"WIFL","Breeding","PNW",-123.3765,44.7821
"WIFL","Breeding","PNW",-123.3471,44.4091
"WIFL","Breeding","PNW",-123.3471,44.4091
"WIFL","Breeding","PNW",-123.3471,44.4091
"WIFL","Breeding","PNW",-123.973,43.0394
"WIFL","Breeding","PNW",-123.973,43.0394
"WIFL","Breeding","PNW",-123.973,43.0394
"WIFL","Breeding","PNW",-123.973,43.0394
"WIFL","Breeding","PNW",-123.973,43.0394
"WIFL","Breeding","PNW",-123.973,43.0394
"WIFL","Breeding","PNW",-123.973,43.0394
"WIFL","Breeding","PNW",-123.973,43.0394
"WIFL","Breeding","PNW",-123.973,43.0394
"WIFL","Breeding","PNW",-123.973,43.0394
"WIFL","Breeding","PNW",-123.19,41.8403
"WIFL","Breeding","PNW",-123.19,41.8403
"WIFL","Breeding","PNW",-121.88,41.2583
"WIFL","Breeding","PNW",-121.8833,41.2583
"WIFL","Breeding","PNW",-121.8833,41.2583
"WIFL","Breeding","PNW",-121.8833,41.2583
"WIFL","Breeding","PNW",-121.8833,41.2583
"WIFL","Breeding","KER",-118.46,35.6594
"WIFL","Breeding","KER",-118.46,35.6594
"WIFL","Breeding","KER",-118.46,35.6594
"WIFL","Breeding","KER",-118.46,35.6594
"WIFL","Breeding","KER",-118.46,35.6594
"WIFL","Breeding","PNW",-118.46,35.6594
"WIFL","Breeding","PNW",-118.46,35.6594
"WIFL","Breeding","KER",-118.46,35.6594
"WIFL","Breeding","KER",-118.46,35.6594
"WIFL","Breeding","KER",-118.46,35.6594
"WIFL","Breeding","KER",-118.46,35.6594
"WIFL","Breeding","KER",-118.46425,35.6594
"WIFL","Breeding","KER",-118.46425,35.6594
"WIFL","Breeding","KER",-118.46425,35.6594
"WIFL","Breeding","KER",-118.46425,35.6594
"WIFL","Breeding","KER",-118.46425,35.6594
"WIFL","Breeding","PNW",-118.46425,35.6594
"WIFL","Breeding","PNW",-118.46425,35.6594
"WIFL","Breeding","KER",-118.46425,35.6594
"WIFL","Breeding","KER",-118.46425,35.6594
"WIFL","Breeding","KER",-118.46425,35.6594
"WIFL","Breeding","PNW",-118.48,37.4083
"WIFL","Breeding","SCA",-120.18,34.6167
"WIFL","Breeding","SCA",-120.18,34.6167
"WIFL","Breeding","SCA",-120.18,34.6167
"WIFL","Breeding","SCA",-116.79,33.2483
"WIFL","Breeding","SCA",-116.79,33.2483
"WIFL","Breeding","SCA",-117.37,33.2765
"WIFL","Breeding","SCA",-117.37,33.2765
"WIFL","Breeding","SCA",-117.37,33.2765
"WIFL","Breeding","SCA",-117.37,33.2765
"WIFL","Breeding","SCA",-117.37,33.28
